Data Series,2022 3Q ,2022 2Q ,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q ,1994 4Q ,1994 3Q ,1994 2Q ,1994 1Q ,1993 4Q ,1993 3Q ,1993 2Q ,1993 1Q ,1992 4Q ,1992 3Q ,1992 2Q ,1992 1Q ,1991 4Q ,1991 3Q ,1991 2Q ,1991 1Q ,1990 4Q ,1990 3Q ,1990 2Q ,1990 1Q 
      Cleaning & Landscaping,2300,1900,2300,2100,2800,2300,1200,1500,1600,1200,800,1300,1200,1000,1100,1400,2500,1800,1800,1400,1800,1600,1300,1400,2000,1200,1100,1300,1600,1800,1800,1700,1800,1800,1700,1600,1900,1300,1100,800,1600,1100,1200,1200,1400,1100,900,800,1000,400,300,200,700,300,400,700,1100,300,400,600,400,200,500,400,600,400,600,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Administrative & Support Services,2700,4200,3100,3300,3100,2000,1000,1000,1200,1500,1300,1500,1300,1200,1300,1600,1300,1200,1000,1300,1000,1300,900,1200,1300,1000,1100,1200,1200,1500,1200,1400,1900,1300,1800,1500,1500,1000,1000,1100,1500,700,700,800,1200,1000,1100,900,1100,700,700,700,700,300,400,400,900,800,700,500,1000,300,500,500,500,600,300,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"    Community, Social And Personal Services",21700,23400,22000,19000,19200,16900,14700,13600,12900,10300,9800,11000,11400,10200,10800,10000,10700,11900,10300,9300,11000,10000,9300,9700,11500,11200,10700,10200,12000,14300,14000,13200,13400,15100,13000,12300,13300,12800,11200,10300,12600,10800,11000,12600,12000,14100,11800,10100,11200,11800,9200,11400,10000,10000,9400,10200,10400,8800,7900,6800,7100,8400,7200,6400,6600,6000,5000,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Public Administration & Education,9500,10900,10200,9500,9500,9700,8200,7300,7000,6200,5000,5300,5800,5000,5500,4500,5300,6300,4900,4900,5300,5200,4400,4800,5600,6500,4800,4500,6000,7300,5900,5900,6500,7300,6400,6000,7100,7100,5700,5800,7100,6000,6400,7200,7200,8000,6100,6400,7000,6900,5800,6900,7000,7600,7300,7800,7800,5800,5300,4500,4500,5500,4400,3900,4300,4100,3200,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Health & Social Services,7800,8100,7700,6500,6600,5000,4600,4600,4200,3200,3900,3800,3700,3500,3600,3200,3500,3300,3100,2700,2800,2700,2700,3000,3500,2700,3100,2600,3000,4300,4600,4200,4300,5100,4100,3600,3000,3100,2600,2100,2700,2600,2500,2500,2200,3100,2600,1600,1500,2200,2100,1900,1500,1600,1400,1400,1300,1700,1400,1300,1400,1600,1500,1300,1200,1200,1100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Arts, Entertainment & Recreation",2200,2000,1900,2000,1900,1100,1000,900,900,500,400,300,700,800,800,1200,1200,1100,800,600,1300,600,600,500,1100,800,1000,1100,1200,900,1000,900,1500,1200,1100,1200,1800,1100,1400,1000,1400,700,800,1000,1300,800,1000,1000,1000,900,600,800,800,400,400,500,700,700,500,500,700,700,600,600,600,500,400,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Other Community, Social & Personal Services",2200,2500,2200,1000,1300,1200,1000,800,800,500,500,1500,1100,900,800,1100,800,1200,1500,1100,1600,1500,1600,1400,1300,1200,1800,1900,1700,1700,2500,2200,1000,1500,1400,1500,1500,1500,1500,1400,1300,1500,1300,1900,1300,2200,2100,1000,1700,1800,600,1800,700,500,300,400,500,600,600,500,500,600,600,600,400,300,300,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Others,600,600,900,700,900,800,500,200,400,400,400,400,300,400,400,400,400,500,300,300,400,500,400,400,400,400,300,400,700,400,400,500,600,500,400,400,700,500,800,900,1000,800,500,600,600,700,400,400,400,400,400,400,500,200,200,300,400,700,400,600,500,600,200,200,300,500,300,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"Professionals, Managers, Executives & Technicians",60600,70600,69700,63200,55200,49400,37600,29500,30200,26000,27000,29000,30900,31600,31300,30600,33400,32700,29200,25700,25800,27500,23700,23200,25800,26300,24600,23900,27200,32100,31100,28600,29300,29100,26400,24100,24300,23800,21900,18400,22700,20000,20600,21400,22000,25600,22400,20300,21800,20900,17200,17200,16300,14400,12500,13800,18600,20200,18900,17700,17600,18500,16000,15100,13700,14700,11800,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"Clerical, Sales & Service Workers",23200,26200,23200,20800,19400,15100,12900,10600,11600,8300,8500,11600,11800,12400,12600,13900,14800,13700,11900,12000,14600,11900,10900,11700,15900,13300,13700,14600,17900,17400,17500,17300,20900,17800,17700,16500,20200,13300,13700,13900,17600,13300,13800,16200,15800,15000,12900,11500,14700,12000,9900,9500,10200,6300,6100,8200,10200,10900,10400,10400,10200,10200,9200,8700,8300,8300,7100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"Production & Transport Operators, Cleaners & Labourers",26700,30100,30100,30000,29500,29300,16500,12900,11500,8500,8900,9400,10300,9800,10900,13300,15200,11800,11100,9000,12800,10500,10700,9700,12100,10800,10900,12100,14900,13500,15000,15300,17300,17000,16300,15900,17400,14900,15500,11600,16100,14000,12400,14100,16100,15300,14100,12300,13700,12200,10200,9000,10500,5400,4300,5400,11700,11200,11700,12600,11000,10500,10600,9600,10200,10000,7200,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
