"Time","Food..Beverages...Tobacco","Paper.Rubber.Plastic.Products...Printing","Petroleum..Chemical...Pharmaceutical.Products","Fabricated.Metal.Products..Machinery...Equipment","Electronic..Computer...Optical.Products","Transport.Equipment","Other.Manufacturing.Industries","Construction","Wholesale.Trade","Retail.Trade","Land.Transport...Supporting.Services","Water.Transport...Supporting.Services","Air.Transport...Supporting.Services","Other.Transportation...Storage.Services","Accommodation","Food...Beverage.Services","Telecommunications..Broadcasting...Publishing","IT...Other.Information.Services","Financial.Services","Insurance.Services","Real.Estate.Services","Legal..Accounting...Management.Services","Architectural...Engineering.Services","Other.Professional.Services","Security...Investigation","Cleaning...Landscaping","Other.Administrative...Support.Services","Public.Administration...Education","Health...Social.Services","Arts..Entertainment...Recreation","Other.Community..Social...Personal.Services","Others"
2016.5,720.833333333333,283.333333333333,512.5,1154.16666666667,1704.16666666667,608.333333333333,995.833333333333,1637.5,2987.5,3341.66666666667,916.666666666667,275,670.833333333333,1450,1716.66666666667,3587.5,1037.5,1870.83333333333,2829.16666666667,383.333333333333,1820.83333333333,2062.5,1004.16666666667,816.666666666667,2054.16666666667,1187.5,995.833333333333,6462.5,2629.16666666667,779.166666666667,1150,408.333333333333
2016.75,679.166666666667,183.333333333333,500,837.5,2079.16666666667,845.833333333333,679.166666666667,2279.16666666667,2900,3420.83333333333,545.833333333333,258.333333333333,700,1291.66666666667,1462.5,4858.33333333333,1045.83333333333,2375,2679.16666666667,404.166666666667,1716.66666666667,2141.66666666667,654.166666666667,583.333333333333,2641.66666666667,2016.66666666667,1275,5437.5,3579.16666666667,1025,1287.5,366.666666666667
2017,354.166666666667,295.833333333333,400,600,2350,541.666666666667,470.833333333333,1379.16666666667,2300,3495.83333333333,229.166666666667,183.333333333333,541.666666666667,1083.33333333333,1608.33333333333,3083.33333333333,791.666666666667,1912.5,2937.5,400,1241.66666666667,1750,491.666666666667,379.166666666667,2212.5,1370.83333333333,1170.83333333333,4712.5,2904.16666666667,441.666666666667,1395.83333333333,412.5
2017.25,479.166666666667,279.166666666667,375,1054.16666666667,2875,841.666666666667,475,1233.33333333333,2833.33333333333,2795.83333333333,341.666666666667,587.5,720.833333333333,1391.66666666667,1375,2712.5,933.333333333333,1795.83333333333,3275,500,979.166666666667,1900,470.833333333333,270.833333333333,2000,1258.33333333333,800,4200,2550,566.666666666667,1629.16666666667,400
2017.5,625,383.333333333333,395.833333333333,995.833333333333,2241.66666666667,841.666666666667,575,1675,2812.5,2950,554.166666666667,883.333333333333,462.5,1729.16666666667,1470.83333333333,3954.16666666667,1037.5,2495.83333333333,3716.66666666667,500,1012.5,1716.66666666667,575,612.5,1983.33333333333,1591.66666666667,1337.5,5020.83333333333,2458.33333333333,545.833333333333,1491.66666666667,500
2017.75,533.333333333333,295.833333333333,491.666666666667,1170.83333333333,3145.83333333333,841.666666666667,575,1845.83333333333,3291.66666666667,2279.16666666667,800,270.833333333333,575,1704.16666666667,1800,4083.33333333333,695.833333333333,2304.16666666667,4283.33333333333,512.5,1083.33333333333,1641.66666666667,650,712.5,2316.66666666667,1808.33333333333,887.5,5237.5,2712.5,1300,1675,375
2018,595.833333333333,291.666666666667,391.666666666667,1370.83333333333,1891.66666666667,854.166666666667,500,1425,3275,2345.83333333333,770.833333333333,62.5,775,1295.83333333333,1454.16666666667,3762.5,470.833333333333,2675,3533.33333333333,620.833333333333,1041.66666666667,1179.16666666667,820.833333333333,558.333333333333,1545.83333333333,1362.5,1325,4825,2575,570.833333333333,937.5,283.333333333333
2018.25,608.333333333333,279.166666666667,716.666666666667,1491.66666666667,2600,1700,691.666666666667,1370.83333333333,3512.5,2608.33333333333,1012.5,491.666666666667,750,1725,1591.66666666667,3075,720.833333333333,3295.83333333333,3841.66666666667,629.166666666667,875,1595.83333333333,1137.5,687.5,1279.16666666667,1812.5,979.166666666667,4816.66666666667,2975,787.5,1420.83333333333,295.833333333333
2018.5,600,295.833333333333,808.333333333333,1975,2445.83333333333,1450,804.166666666667,1795.83333333333,3987.5,2912.5,975,283.333333333333,1245.83333333333,1504.16666666667,2708.33333333333,3400,820.833333333333,3020.83333333333,4241.66666666667,837.5,1041.66666666667,2100,1012.5,908.333333333333,1445.83333333333,1800,1170.83333333333,6216.66666666667,3237.5,1133.33333333333,1179.16666666667,516.666666666667
2018.75,1000,416.666666666667,733.333333333333,1841.66666666667,2158.33333333333,1950,1237.5,4495.83333333333,3916.66666666667,3020.83333333333,708.333333333333,408.333333333333,891.666666666667,1833.33333333333,1641.66666666667,4329.16666666667,991.666666666667,3391.66666666667,5566.66666666667,708.333333333333,1175,2566.66666666667,1004.16666666667,925,2083.33333333333,2612.5,1325,5254.16666666667,3604.16666666667,1191.66666666667,708.333333333333,358.333333333333
2019,575,420.833333333333,600,1304.16666666667,2150,1575,800,4666.66666666667,3562.5,2404.16666666667,587.5,412.5,1137.5,1625,2045.83333333333,4479.16666666667,575,3687.5,4116.66666666667,616.666666666667,1391.66666666667,2220.83333333333,1245.83333333333,479.166666666667,2416.66666666667,1375,1645.83333333333,4529.16666666667,3254.16666666667,1212.5,1037.5,412.5
