Time,Numbers Employed Forecast Semiconductors,Numbers Employed Forecast Infocomms & Consumer Electronics,Numbers Employed Forecast Other Electronic Modules & Components,Numbers Employed Forecast Petroleum,Numbers Employed Forecast Petrochemicals,Numbers Employed Forecast Specialty Chemicals,Numbers Employed Forecast Chemicals Others,Numbers Employed Forecast Pharmaceuticals,Numbers Employed Forecast Medical Technology,Numbers Employed Forecast Machinery & Systems,Numbers Employed Forecast Precision Modules & Components,Numbers Employed Forecast Marine & Offshore Engineering,Numbers Employed Forecast Aerospace,Numbers Employed Forecast Transport Land,"Numbers Employed Forecast Food, Beverages & Tobacco",Numbers Employed Forecast Printing,Numbers Employed Forecast General Manufacturing Industries Miscellaneous,Output Forecast Semiconductors,Output Forecast Infocomms & Consumer Electronics,Output Forecast Other Electronic Modules & Components,Output Forecast Petroleum,Output Forecast Petrochemicals,Output Forecast Specialty Chemicals,Output Forecast Chemicals Others,Output Forecast Pharmaceuticals,Output Forecast Medical Technology,Output Forecast Machinery & Systems,Output Forecast Precision Modules & Components,Output Forecast Marine & Offshore Engineering,Output Forecast Aerospace,Output Forecast Transport Land ,"Output Forecast Food, Beverages & Tobacco",Output Forecast Printing,Output Forecast General Manufacturing Industries Miscellaneous
  2006 4Q,8,-21,0,0,6,13,5,81,0,5,5,69,29,0,14,6,13,10,-58,-22,0,8,12,3,-62,9,-9,-5,67,33,58,18,-9,12
  2006 3Q,17,10,0,0,0,19,5,81,11,10,0,73,28,0,10,1,-3,6,56,1,0,58,24,0,71,35,7,5,66,23,52,32,-6,4
  2006 2Q,21,12,12,0,-3,1,13,81,0,8,6,55,42,0,22,1,14,10,18,53,-33,-31,20,47,-81,83,38,18,55,90,53,34,18,29
  2006 1Q,12,-12,1,0,0,14,18,0,6,17,10,76,70,0,12,2,5,45,23,13,33,1,24,13,-10,58,43,22,41,38,6,20,12,51
  2005 4Q,25,-21,6,0,-6,3,5,0,6,26,2,64,30,0,14,1,-24,-6,-38,-20,0,13,-4,-6,-59,-10,34,-3,64,2,5,26,-9,-48
  2005 3Q,31,-20,12,0,0,16,15,0,6,15,5,27,39,0,4,0,4,43,-28,21,20,61,17,-57,100,7,16,-5,49,41,53,37,-2,-6
  2005 2Q,17,4,-16,0,3,8,-21,0,-47,14,-1,69,66,0,4,-2,21,63,7,80,30,20,33,-28,59,37,30,23,73,63,19,54,4,12
  2005 1Q,3,-29,18,0,0,19,0,0,0,18,10,14,23,10,-1,2,6,49,42,38,0,8,14,10,0,84,29,34,12,50,-19,14,60,10
  2004 4Q,-10,-16,2,0,0,11,5,0,7,3,-4,29,-8,8,4,2,-33,-4,-71,3,0,37,1,-41,-86,41,-9,-6,31,-23,74,21,-2,-41
  2004 3Q,26,-2,-8,0,0,6,-23,0,10,-28,-3,21,4,-6,8,1,-13,53,-26,-27,0,20,26,-17,42,26,1,-15,31,-1,-11,21,1,-18
  2004 2Q,49,0,9,0,4,14,-6,0,7,39,5,54,9,0,10,7,24,62,11,-7,34,-8,32,-1,-8,0,-9,21,44,26,20,32,17,34
  2004 1Q,22,23,15,0,-4,24,3,0,7,37,7,25,4,0,2,2,2,85,82,45,-48,2,40,46,-28,93,59,33,27,37,-4,32,21,27
  2003 4Q,9,-42,0,0,0,14,20,0,9,15,1,17,0,4,-1,8,-12,7,-28,-20,0,4,17,-28,95,-58,0,-8,28,-6,-69,14,-54,-18
  2003 3Q,9,-8,-10,0,3,0,-9,-1,17,6,-2,0,-14,-16,15,-8,-13,32,25,18,37,37,16,-8,84,18,32,9,6,-29,-4,53,-10,-14
  2003 2Q,14,20,-17,0,3,13,-30,30,0,8,2,1,-9,-16,4,-9,16,31,71,24,-11,-39,19,-41,86,-8,-15,0,36,-31,-69,19,11,20
  2003 1Q,-14,17,0,0,-1,-7,-39,1,-7,2,-4,-6,-6,0,-5,-10,-11,2,40,17,-52,19,11,-43,-57,-7,32,-6,5,-46,-4,2,-5,-34
